Project_Name,Owner,Developer,Address,Zip_Code,Council_District,Kirwan_Opportunity_Index,Distance_to_Bus_Stop,Total_Units,Total_Affordable_Units,Unit_Type,Program,Housing_Type,Status,Affordability_Start_Date,Affordability_Period,Affordability_Expiration_Date,Certification_Date,C._of_O._Date,Required_Amount_of_Fee_in_Lieu,Date_Fee_in_Lieu_Received,Market_Rate_Units,City_Funded_Amount,%_of_Funds_Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Mueller I-C Phase I,"Standard Pacific of Texas, LP",CalAtlantic Homes,2811 Zach Scott Street,78723,9,Moderate,1/4 Mile,103,26,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,5/26/15 0:00,1,5/26/16 0:00,1/30/14,5/26/15,,,77,$0.00 ,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.300126860682202, -97.701886446846601)"
Guadalupe Neighborhood Development Corporation - Duplex,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,3,Very Low,1/4 Mile,2,2,Duplex,Developer Incentive,Ownership,Project Certified / Loan Executed,,5,,2/3/14,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.262286394, -97.708352138999999)"
Mueller Section 7-C,David Weekly Homes,David Weekly Homes,4011 Vaughan Street,78723,9,Moderate,1/4 Mile,128,32,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,5/6/14,,,,96,$0.00 ,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.291838968533199, -97.6972523339616)"
The District at SoCO,"District at SoCo, LLC","District at SoCo, LLC",501 E Oltorf Street,78704,9,Moderate,1/4 Mile,215,22,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/12/12 0:00,5,12/12/17 0:00,2/21/08,10/12/12,,,193,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2370632451874, -97.750966361316401)"
Scenic Point II - Phase II,Austin Habitat for Humantiy,Austin Habitat for Humanity,7613 Compass Drive,78724,1,Very Low,Neither,67,67,Single Family,Developer Incentive,Ownership,Site Plan Approved / Project Underway,,1,,5/2/14,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.310509436146301, -97.639655260603405)"
RMMA,Muskin Cummins Partnership LLP,The Muskin Cummins LLP,3800 Tillery Street,78702,3,Very Low,1/4 Mile,4,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,7/8/15 0:00,1,7/8/16 0:00,6/6/14,7/8/15,,,3,$0.00 ,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.263028450885098, -97.703861363714196)"
WBP Apartments,AMTEX,AMTEX,1114 Wells Branch Parkway,78660,7,Low,1/4 Mile,240,240,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,7/24/14,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.439530610635099, -97.659963311762098)"
Rio Lado Apartments,Fort Creek Housing LP,Fort Creek Housing LP,2989 E 51st Street,78723,1,Very Low,1/4 Mile,128,121,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,7/24/14,,,,7,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296394371389901, -97.684318847303899)"
Springdale Apartments,Ryan Companies US Inc.,Ryan Companies US INC.,5605 Springdale Road,78723,1,Very Low,1/4 Mile,292,292,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,7/31/14,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2989810707065, -97.673889893160705)"
RMMA VII-C Phase I,"Standard Pacific of Texas, L.P.",Standard Pacific of Texas,4200 Nitchke Street,78723,9,Moderate,1/2 Mile,46,13,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,8/20/15,,,,33,$0.00 ,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.293997723204399, -97.706929664948305)"
Muskin Company (RMMA),Muskin Company,Muskin Company,3012 Tom Miller Street,78723,9,Moderate,1/4 Mile,3,1,Multifamily,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,8/12/15 0:00,1,8/12/16 0:00,9/23/14,8/12/15,,,2,$0.00 ,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.290589298728001, -97.696854536491102)"
Housing First Oak Springs,Austin Travis County Integral Care,Austin Travis County Integral Care,3000 Oak  Springs Drive,78702,1,Very Low,1/4 Mile,50,50,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,11/7/14,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2735221853269, -97.7005660266436)"
Burnet Road Development,"Fremont Holdings, LLC",Freemont Holdings,8528 Burnet Road,78757,7,Moderate,1/4 Mile,300,45,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,10,,11/4/14,,,,255,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.367433533287301, -97.728440651222201)"
Philips-Evans & Johnson,Phillips-Evans & Johnson,Philips-Evans & Johnson,1215 Arthur Stiles Road,78721,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,11/20/14,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2617249783709, -97.677203467045203)"
KAPASI,Hanna & Mansoor Kapasi,"Mansoor Kapasi , Owner",3208 Merrie Lynn Avenue,78722,9,Low,1/4 Mile,1,1,Single Family,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/18/15 0:00,5,11/18/20 0:00,11/20/14,11/18/15,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.286187739275999, -97.7125136859935)"
1817 W 10th Street,Clarskville Community Development Corporation,Clarksville Community Development Corporation,1817 W 10th Street,78703,9,High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Certified / Loan Executed,,5,,11/20/14,,,,0,"$108,200.00 ",319.13%,No,No,No,No,No,No,Yes,No,No,No,"(30.281334025354301, -97.765119597022107)"
Harris Branch Senior Apartments,"LDG Multifamily, LLC",LDG Multifamily LLC,12331 Dessau Road,78754,1,Moderate,Neither,216,216,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,12/12/08 0:00,5,12/12/13 0:00,11/24/14,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.388806594124201, -97.644881914426804)"
Urban Oaks,Ryan Companies US Inc.,Ryan Companies,6725 Circle S Road,78745,2,Very Low,1/4 Mile,194,194,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,1/15/15,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.190844537097799, -97.7778564092322)"
LaMadrid Apartments,LaMadrid Apartments LLC,LaMadrid Apartments LLC,11320 Manchaca Road,78748,,Moderate,Neither,95,83,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,,5,,1/26/15,,,,12,"$2,700,000.00 ",633.49%,No,No,No,No,No,No,Yes,No,No,No,"(30.165900136628899, -97.828357648547495)"
Cardinal Point Apartments,"Foundation Communities, Inc.","Foundation Communities, Inc.",11015 Four Points Drive,78730,6,High,Neither,120,120,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,,5,,1/28/15,,,,0,"$2,575,000.00 ",948.58%,No,No,No,No,No,No,Yes,No,No,No,"(30.3990768259772, -97.8457707088684)"
Merritt Cornerstone Apartments,DDC Merritt Cornerstone Ltd.,DDC Merritt Cornerstone LTD,4500 W Howard Lane,78728,7,Moderate,Neither,200,104,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,2/9/15,,,,96,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.445192184226901, -97.709328648215603)"
Azul 620,"Austin DMA Housing II, LLC",Austin DMA Housing II,11411 N Ranch Road 620,78726,6,Very High,Neither,120,110,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,1/29/15,,,,10,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.451620999999999, -97.825747000000007)"
Linden Lots,Austin Housing Finance Corporation,American Youthworks,Undisclosed,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,5,,2/18/15,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.265681568809399, -97.705045372372993)"
Enfield Gardens,Enfield Gardens LLC,Enfield Gardens LLC,2300 Enfield Road,78726,10,High,1/4 Mile,36,4,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,5,,2/19/15,,,,32,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.288068705588199, -97.767135054568996)"
Spire,Spire East 5th LP,Spire East 5th LLC,501 Waller Street,78702,3,Very Low,1/4 Mile,264,66,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,2/24/15,,,,198,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2635057530062, -97.730774344721993)"
Garden Homes (RMMA),Muskin Company,Muskin Company,2601 Zach Scott Street,78723,9,Moderate,1/2 Mile,6,2,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,5/2/16 0:00,1,5/2/17 0:00,3/16/15,5/2/16,,,4,$0.00 ,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.293979532293999, -97.706382930763894)"
Tillery Street Homes (RMMA),Muskin Company,Muskin Company,3808 Tillery Street,78723,3,Very Low,1/4 Mile,4,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,,1,3/4/17 0:00,3/16/15,,,,3,$0.00 ,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.286905000000001, -97.702551)"
SAMdorosa,SAMdorosa Communities LLC,SAMdorosa LLC,6700 Manchaca Road,78745,5,Low,1/4 Mile,14,2,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,4/28/15,,,,12,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.206387642187401, -97.806869542275393)"
Texan West Campus,Unknown,American Campus Communities,2616 Salado Street,78705,9,Very Low,1/4 Mile,62,7,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,9/2/05 0:00,15,9/2/20 0:00,,9/2/05,"$37,824.00 ",6/19/05 0:00,55,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.292272000000001, -97.745467000000005)"
Quarters at Sterling,"West Campus Partners III, LP","West Campus Partners III, LP",709 W 22nd Street,78705,9,Very Low,1/4 Mile,100,10,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,8/15/06 0:00,15,8/15/21 0:00,,8/15/06,"$45,692.00 ",6/19/05 0:00,90,$0.00 ,0%,No,No,No,No,No,No,No,No,Yes,No,"(30.284986212215699, -97.7459643960633)"
Jefferson West Campus,Greystar Student Living,DMC & Sterling University Mgmnt,2704 Rio Grande Street,78705,9,Very High,1/4 Mile,76,8,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,8/10/10 0:00,15,8/10/25 0:00,,8/10/06,"$57,766.00 ",7/24/06 0:00,68,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2929610272008, -97.744543884834897)"
Quarters at Cameron,"West Campus Partners III, LP",Simmons Vedder & Company,2707 Rio Grande Street,78705,9,Very High,1/4 Mile,64,6,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,7/28/06 0:00,15,7/28/21 0:00,,7/28/06,"$29,988.00 ",8/1/06 0:00,58,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.292392736345999, -97.7439141695708)"
Quarters at Montgomery,"West Campus Partners III, LP",Simmons Vedder & Company,2700 Nueces Street,78705,9,Very High,1/4 Mile,88,9,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/7/08 0:00,15,11/7/23 0:00,,11/7/08,"$40,925.00 ",8/1/06 0:00,79,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.292070400310202, -97.743206615249406)"
Texan Tower,2505 San Gabriel Ltd.,2505 San Gabriel Ltd.,2505 San Gabriel Street,78705,9,High,1/4 Mile,74,7,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/12/08 0:00,15,11/12/23 0:00,2/22/05,11/7/08,"$37,964.00 ",3/9/07 0:00,67,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290108802875199, -97.7473990250448)"
Block at Pearl - North,"Pearl Block, L.P. & Delaware Ltd. Partnership","Pearl Block, L.P. & Delware Ltd. Partnership",901 W 22nd Street,78705,9,High,1/4 Mile,47,5,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,12/19/08 0:00,15,12/19/23 0:00,3/31/06,12/18/08,"$22,256.00 ",8/15/07 0:00,42,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.286063592410802, -97.746634148315593)"
Block on Pearl South,"Pearl Block, L.P. & Delaware Ltd. Partnership","Pearl Block, L.P. & Delware Ltd. Partnership",900 W 22nd Street,78705,9,High,1/4 Mile,49,5,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,12/17/08 0:00,15,12/17/23 0:00,3/31/06,12/15/08,"$22,948.00 ",8/15/08 0:00,44,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2856298709677, -97.746709470294505)"
Block on 28th,CWS Capital Partners LLC,CWS Capital Partners LLC,701 W 28th Street,78705,9,Very High,1/4 Mile,100,10,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/6/08 0:00,15,11/6/23 0:00,2/23/06,11/6/08,"$48,450.00 ",8/15/07 0:00,90,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.293277360824401, -97.744633206393502)"
Texas Shoal Creek,"Texan Shoal Creek, LLC","Texan Shoal Creek, LLC",2502 Leon Street,78705,9,Very High,1/4 Mile,79,8,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,12/31/08 0:00,15,12/31/23 0:00,4/7/06,12/31/08,"$36,407.00 ",5/15/08 0:00,71,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289850575853102, -97.749459610876499)"
Texan at Pearl,"Texan Properties, LLC","Texan Properties, LLC",2515 Pearl Street,78705,9,High,1/4 Mile,81,8,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/15/08 0:00,15,10/15/23 0:00,,10/15/08,"$34,418.00 ",8/1/08 0:00,73,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290649448918199, -97.746250734786898)"
Quarters at Grayson,Simmons Vedder & Company,Simmons Vedder & Company,714 W 22nd Street,78705,9,High,1/4 Mile,100,10,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/23/08 0:00,15,10/23/23 0:00,9/1/05,10/28/08,"$47,890.00 ",8/5/08 0:00,90,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2855074737524, -97.746308531698105)"
Quarters at Nueces House,Simmons Vedder & Company,Simmons Vedder & Company,2300 Nueces Street,78705,9,Very High,1/4 Mile,232,23,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/28/08 0:00,15,10/28/23 0:00,9/1/05,10/28/08,"$111,106.00 ",8/5/08 0:00,209,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.286791765767902, -97.743904479342305)"
Karnes House (fka University Garden Apartments),Simmons Vedder & Company,Simmons Vedder & Company,2222 Rio Grande Street,78705,9,High,1/4 Mile,12,1,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/17/08 0:00,15,11/17/23 0:00,8/25/05,11/17/08,"$5,746.00 ",8/5/08 0:00,11,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.286853363314702, -97.745011217239494)"
Jefferson at West Campus,JPI Development Services,JPI Development Services,600 W 26th Street,78705,9,High,1/4 Mile,364,36,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/9/08 0:00,15,10/9/23 0:00,8/31/06,10/9/08,"$57,766.00 ",7/24/06 0:00,328,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.291110223867602, -97.743463676348398)"
Block on Leon,CWS Capital Partners LLC,CWS Capital Partners LLC,2510  Leon Street,78705,9,Very High,1/4 Mile,138,28,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,2/9/09 0:00,15,2/9/24 0:00,,2/9/09,$0.00 ,,110,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290518612249102, -97.749444896529496)"
Block on 25th West,CWS Capital Partners LLC,CWS Capital Partners LLC,2501 Pearl Street,78705,9,High,1/4 Mile,80,8,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/10/08 0:00,15,10/10/23 0:00,4/7/06,10/10/08,"$38,896.00 ",8/15/08 0:00,72,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289584554535299, -97.746225400629896)"
Block on 25th East,CWS Capital Partners LLC,CWS Capital Partners LLC,702 W 25th Street,78705,9,High,1/4 Mile,87,9,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/17/08 0:00,15,10/17/23 0:00,4/7/06,10/17/08,"$58,345.00 ",8/15/08 0:00,78,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289579527105602, -97.745159088506099)"
Block on Rio Grande,Block Rio Grande L.P.,Block Rio Grande L.P.,2819 Rio Grande Street,78705,9,Very High,1/4 Mile,97,20,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/6/08 0:00,15,10/6/23 0:00,2/6/07,10/6/08,,,67,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2950720832625, -97.743667174832495)"
Block on 23rd,CWS Apartment Homes LLC,CWS Apartment Homes,2222 Pearl Street,78705,9,Moderate,1/4 Mile,99,10,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/10/08 0:00,15,10/10/23 0:00,2/9/07,10/10/08,"$45,940.00 ",8/20/08 0:00,89,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.287061345394299, -97.746713734761897)"
Galileo,"Udorn Thani Land Development, LLC","Udorn Thani Land Development, LLC",2501 San Gabriel Street,78705,9,Moderate,1/4 Mile,47,5,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/22/08 0:00,15,10/22/23 0:00,9/12/06,10/22/08,"$29,390.00 ",8/20/08 0:00,42,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289639994558499, -97.747349341382204)"
21 Rio,"2101 Rio Grande Property Owner, LLC","2101 Rio Grande Property Owner, LLC",2101 Rio Grande Street,78705,9,Moderate,1/4 Mile,299,30,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,8/28/09 0:00,15,8/28/24 0:00,11/16/05,8/28/09,"$78,333.00 ",10/1/09 0:00,269,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.284216199259099, -97.744742765806393)"
904-908 W. 22 1/2 Street,"22 1/2 Street Partners, LP",22 1/2 Street Partners,904 W 22nd Street,78705,9,Moderate,1/4 Mile,62,6,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,8/14/09 0:00,15,8/14/24 0:00,11/27/07,8/14/09,"$26,860.00 ",10/1/09 0:00,56,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.285616684605198, -97.747016846263804)"
Grand Marc at 26th,"PPC Land Ventures, Inc.","PPC Land Ventures, Inc.",510 W 26th Street,78705,9,Very High,1/4 Mile,134,13,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,1/18/13 0:00,15,1/18/28 0:00,10/25/10,1/18/13,"$54,638.00 ",6/21/12 0:00,121,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2909986770952, -97.742571347485793)"
2608 Salado Multifamily,"Kline Ventures, LP","Kline Ventures, LP",2608 Salado Street,78705,9,Very High,1/4 Mile,7,1,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,8/31/11 0:00,15,8/31/26 0:00,10/4/10,8/31/11,"$6,447.00 ",6/8/12 0:00,6,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2916194866166, -97.745528280299595)"
Ellora Apartments,ECO Properties LLC,ECO Properties LLC,908 W 21st Street,78705,9,High,1/4 Mile,23,2,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,12/13/12 0:00,15,12/13/27 0:00,10/28/08,12/13/12,"$4,454.00 ",6/26/12 0:00,21,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2849807633777, -97.747465894374798)"
2401 Longview,"24th & Longview, LLC","24th & Longview, LLC",2401 Longview Street,78705,9,Very Low,1/4 Mile,70,7,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/30/12 0:00,15,11/30/27 0:00,4/28/11,11/30/12,"$31,401.00 ",1/7/13 0:00,63,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2886898539304, -97.750486412531004)"
Axis West campus,CWC Borrower LLC,CWC Borrower LLC,2505 Longview Street,78705,9,Very Low,1/4 Mile,167,34,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,9/12/12 0:00,15,9/12/27 0:00,2/5/10,9/12/12,$0.00 ,,133,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2900669818974, -97.750235036806302)"
San Pedro Flats,"2708 San Pedro, LLC","2708 San Pedro, LLC",2708 San Pedro Street,78705,9,Very Low,1/4 Mile,10,1,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,2/5/14 0:00,15,2/5/29 0:00,3/19/07,2/5/14,"$6,829.00 ",3/4/14 0:00,9,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.293152441582599, -97.745987143881806)"
The Quarters at Bandera House,"West Campus Partners III, LP","West Campus Partners III, LP",2215 Rio Grande Street,78705,9,Very Low,1/4 Mile,155,16,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,1/31/14 0:00,15,1/31/29 0:00,7/26/07,1/31/14,"$60,209.00 ",6/26/12 0:00,139,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.286451121088799, -97.744613045018497)"
21 Pearl,21Pearl LLC,21Pearl LLC,911 W 21st Street,78705,9,Very Low,1/4 Mile,136,28,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,1/16/14 0:00,15,1/16/29 0:00,7/21/06,1/16/14,$0.00 ,,108,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.284684620424201, -97.747461470489199)"
Woolridge Hall,"Alan & O'Hara Development Company, LLC","Alan & O'Hara Development Company, LLC",2400 Nueces Street,78705,9,Very High,1/4 Mile,304,31,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/20/13 0:00,15,11/20/28 0:00,7/6/10,11/20/13,"$127,525.00 ",6/3/13 0:00,273,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.288215799357602, -97.743438372328498)"
Callaway House Austin,ACC OP (West Campus) LLC,ACC OP (West Campus) LLC,505 W 22nd Street,78705,9,Moderate,1/4 Mile,219,22,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,9/17/13 0:00,15,9/17/28 0:00,5/4/11,9/17/13,"$87,795.00 ",5/24/13 0:00,197,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.284941123276699, -97.743420905665303)"
Regents at 26th,"West Campus 26th, L.P.","West Campus 26th, L.P.",900 W 26th Street,78705,9,Very High,1/4 Mile,139,14,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/25/13 0:00,15,10/25/28 0:00,12/3/07,10/25/13,$0.00 ,,125,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.29099695188, -97.746494487315701)"
Regents at 24th,"Regents West 2th, LP","Regents West 24th, LP",2401 San Gabriel Street,78705,9,Very Low,1/4 Mile,93,9,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,12/29/14 0:00,15,12/29/29 0:00,11/29/12,12/29/14,"$49,732.00 ",,84,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2884212444376, -97.747456121213105)"
Villas on 26th,Villas on 26th Street LP,Villas on 26th Street LP,800 W 26th Street,78705,9,Very High,1/4 Mile,206,21,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,3/5/15 0:00,15,3/5/30 0:00,9/11/12,3/5/15,"$39,422.00 ",12/11/14 0:00,185,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290957396040302, -97.745565047461895)"
Texan 26th,"Texan Properties, LLC","Texan Properties, LLC",1009 W 26th Street,78705,9,Very High,1/4 Mile,53,5,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/3/15 0:00,15,11/3/30 0:00,1/7/13,11/3/14,"$36,075.50 ",11/4/14 0:00,48,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290589271438101, -97.748175299340403)"
Crest at Pearl,"LMI Pearl Apartment Homes, LLC","LMI Pearl Apartment Homes, LLC",706 Martin Luther King Jr Bouelvard,78705,9,High,1/4 Mile,141,28,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/3/14 0:00,40,11/3/54 0:00,5/31/12,5/29/15,$0.00 ,,113,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2832964183937, -97.746183194574002)"
Ruth R. Schulze House,"University of Texas Inter-Cooperative Council, Inc.","University of Texas Inter-Cooperative Council, Inc.",915 W 22nd Street,78705,9,High,1/4 Mile,26,8,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,6/8/13,,,,18,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2852399837824, -97.747908960617806)"
The Corner,The Corner Development LLC,The Corner Development LLC,2508 San Gabriel Street,78705,9,Very High,1/4 Mile,210,42,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,15,,1/28/14,,,,168,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289475179078899, -97.747831169658596)"
UH 2100 San Antonio,US 2100 San Antonio LLC,UH 2100 San Antonio LLC,2100 San Antonio Street,78705,9,Very High,1/4 Mile,504,50,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,40,,4/1/14,,"$185,085.00 ",5/16/16 0:00,454,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.284185359278801, -97.7431252465542)"
507 W (fka Skyloft),23 Nueces LLC,23 Nueces LLC,2211 Nueces Street,78705,9,Very Low,1/4 Mile,677,68,Multifamily,Developer Incentive,Rental,Site Plan Approved / Project Underway,,40,,7/11/14,,,,609,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2861941679053, -97.743540913411096)"
Texas Alpha House,Texas Alpha House of Phi Kappa Psi Fraternity,Texas Alpha House of Phi Kappa Psi Fraternity,2501 Nueces Street,78705,9,Very High,1/4 Mile,17,2,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,12/11/14,,,,15,$0.00 ,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289320761088199, -97.742774814844594)"
